iso,year,emissions
AFG,2021,0.009125366237944191
AFG,2022,0.009125366237944191
AFG,2023,0.009125366237944191
AFG,2024,0.009125366237944191
AFG,2025,0.009125366237944191
AFG,2026,0.009125366237944191
AFG,2027,0.009125366237944191
AFG,2028,0.009125366237944191
AFG,2029,0.009125366237944191
AFG,2030,0.009125366237944191
AFG,2031,0.009125366237944191
AFG,2032,0.009125366237944191
AFG,2033,0.009125366237944191
AFG,2034,0.009125366237944191
AFG,2035,0.009125366237944191
AFG,2036,0.009125366237944191
AFG,2037,0.009125366237944191
AFG,2038,0.009125366237944191
AFG,2039,0.009125366237944191
AFG,2040,0.009125366237944191
AFG,2041,0.009125366237944191
AFG,2042,0.009125366237944191
AFG,2043,0.009125366237944191
AFG,2044,0.009125366237944191
AFG,2045,0.009125366237944191
AFG,2046,0.009125366237944191
AFG,2047,0.009125366237944191
AFG,2048,0.009125366237944191
AFG,2049,0.009125366237944191
AFG,2050,0.009125366237944191
AGO,2021,0.02673341838992261
AGO,2022,0.02673341838992261
AGO,2023,0.02673341838992261
AGO,2024,0.02673341838992261
AGO,2025,0.02673341838992261
AGO,2026,0.02673341838992261
AGO,2027,0.02673341838992261
AGO,2028,0.02673341838992261
AGO,2029,0.02673341838992261
AGO,2030,0.02673341838992261
AGO,2031,0.02673341838992261
AGO,2032,0.02673341838992261
AGO,2033,0.02673341838992261
AGO,2034,0.02673341838992261
AGO,2035,0.02673341838992261
AGO,2036,0.02673341838992261
AGO,2037,0.02673341838992261
AGO,2038,0.02673341838992261
AGO,2039,0.02673341838992261
AGO,2040,0.02673341838992261
AGO,2041,0.02673341838992261
AGO,2042,0.02673341838992261
AGO,2043,0.02673341838992261
AGO,2044,0.02673341838992261
AGO,2045,0.02673341838992261
AGO,2046,0.02673341838992261
AGO,2047,0.02673341838992261
AGO,2048,0.02673341838992261
AGO,2049,0.02673341838992261
AGO,2050,0.02673341838992261
ALB,2021,0.005787349701243155
ALB,2022,0.005787349701243155
ALB,2023,0.005787349701243155
ALB,2024,0.005787349701243155
ALB,2025,0.005787349701243155
ALB,2026,0.005787349701243155
ALB,2027,0.005787349701243155
ALB,2028,0.005787349701243155
ALB,2029,0.005787349701243155
ALB,2030,0.005787349701243155
ALB,2031,0.005787349701243155
ALB,2032,0.005787349701243155
ALB,2033,0.005787349701243155
ALB,2034,0.005787349701243155
ALB,2035,0.005787349701243155
ALB,2036,0.005787349701243155
ALB,2037,0.005787349701243155
ALB,2038,0.005787349701243155
ALB,2039,0.005787349701243155
ALB,2040,0.005787349701243155
ALB,2041,0.005787349701243155
ALB,2042,0.005787349701243155
ALB,2043,0.005787349701243155
ALB,2044,0.005787349701243155
ALB,2045,0.005787349701243155
ALB,2046,0.005787349701243155
ALB,2047,0.005787349701243155
ALB,2048,0.005787349701243155
ALB,2049,0.005787349701243155
ALB,2050,0.005787349701243155
ARE,2021,0.2181688811577325
ARE,2022,0.2181688811577325
ARE,2023,0.2181688811577325
ARE,2024,0.2181688811577325
ARE,2025,0.2181688811577325
ARE,2026,0.2181688811577325
ARE,2027,0.2181688811577325
ARE,2028,0.2181688811577325
ARE,2029,0.2181688811577325
ARE,2030,0.2181688811577325
ARE,2031,0.2181688811577325
ARE,2032,0.2181688811577325
ARE,2033,0.2181688811577325
ARE,2034,0.2181688811577325
ARE,2035,0.2181688811577325
ARE,2036,0.2181688811577325
ARE,2037,0.2181688811577325
ARE,2038,0.2181688811577325
ARE,2039,0.2181688811577325
ARE,2040,0.2181688811577325
ARE,2041,0.2181688811577325
ARE,2042,0.2181688811577325
ARE,2043,0.2181688811577325
ARE,2044,0.2181688811577325
ARE,2045,0.2181688811577325
ARE,2046,0.2181688811577325
ARE,2047,0.2181688811577325
ARE,2048,0.2181688811577325
ARE,2049,0.2181688811577325
ARE,2050,0.2181688811577325
ARG,2021,0.19595610668972246
ARG,2022,0.19595610668972246
ARG,2023,0.19595610668972246
ARG,2024,0.19595610668972246
ARG,2025,0.19595610668972246
ARG,2026,0.19595610668972246
ARG,2027,0.19595610668972246
ARG,2028,0.19595610668972246
ARG,2029,0.19595610668972246
ARG,2030,0.19595610668972246
ARG,2031,0.19595610668972246
ARG,2032,0.19595610668972246
ARG,2033,0.19595610668972246
ARG,2034,0.19595610668972246
ARG,2035,0.19595610668972246
ARG,2036,0.19595610668972246
ARG,2037,0.19595610668972246
ARG,2038,0.19595610668972246
ARG,2039,0.19595610668972246
ARG,2040,0.19595610668972246
ARG,2041,0.19595610668972246
ARG,2042,0.19595610668972246
ARG,2043,0.19595610668972246
ARG,2044,0.19595610668972246
ARG,2045,0.19595610668972246
ARG,2046,0.19595610668972246
ARG,2047,0.19595610668972246
ARG,2048,0.19595610668972246
ARG,2049,0.19595610668972246
ARG,2050,0.19595610668972246
ARM,2021,0.005418701413579373
ARM,2022,0.005418701413579373
ARM,2023,0.005418701413579373
ARM,2024,0.005418701413579373
ARM,2025,0.005418701413579373
ARM,2026,0.005418701413579373
ARM,2027,0.005418701413579373
ARM,2028,0.005418701413579373
ARM,2029,0.005418701413579373
ARM,2030,0.005418701413579373
ARM,2031,0.005418701413579373
ARM,2032,0.005418701413579373
ARM,2033,0.005418701413579373
ARM,2034,0.005418701413579373
ARM,2035,0.005418701413579373
ARM,2036,0.005418701413579373
ARM,2037,0.005418701413579373
ARM,2038,0.005418701413579373
ARM,2039,0.005418701413579373
ARM,2040,0.005418701413579373
ARM,2041,0.005418701413579373
ARM,2042,0.005418701413579373
ARM,2043,0.005418701413579373
ARM,2044,0.005418701413579373
