id,event,log_gdp_pc_ppp,emission_intensity,government_effectiveness,regulatory_quality,reserves_oil,g_debt,government_expenditure,polity2,welfare,spatial_lag,spatial_lag_sq,spatial_lag_tr,start,stop,region,kyoto,eu
AFG,0,-1.577552624985838,0.6368470217903126,-2.3496078478253697,-2.5080663340488902,-0.1476630537149045,-0.9118461199457748,-0.6861426344919247,1.0334975834855369,-0.06640178785515918,-0.6863779695372428,0.4711147170660683,-0.3233627629189206,0.0,1.0,AS,0,0
AFG,0,-1.5635604141974184,0.6201933156468032,-2.3496078478253697,-2.5080663340488902,-0.1476630537149045,-0.9367077104690119,-0.7237708863789383,1.0334975834855369,-0.054081810866375646,-0.6863779695372428,0.4711147170660683,-0.3233627629189206,1.0,2.0,AS,0,0
AFG,0,-1.6295341679600852,0.5871170605302786,-2.3496078478253697,-2.4235012826738918,-0.1476630537149045,11.96899373307558,-0.1484430948680954,-1.8919858092087085,-0.09589116337132438,-0.6863779695372428,0.4711147170660683,-0.3233627629189206,2.0,3.0,AS,0,0
AFG,0,-1.6285474147342074,0.5809655039290067,-2.3496078478253697,-2.4219492760971306,-0.1476630537149045,-0.00727069669484258,-0.12488531859702542,-1.8919858092087085,-0.09587471580196993,-0.5496641166352864,0.30213064111644966,-0.16607037195772603,3.0,4.0,AS,0,0
AFG,0,-1.6336487257278935,0.5552967672178276,-2.3496078478253697,-2.42101816700556,-0.1476630537149045,-0.028314309258600408,-0.1511706308627492,-1.8919858092087085,-0.10713008973528274,-0.4556017223074072,0.20757292936947577,-0.09457058412512695,4.0,5.0,AS,0,0
AFG,0,-1.6623560794388972,0.11121463218516701,-2.3391347327197494,-2.356465457448686,-0.1476630537149045,-0.1773073691200965,-0.18996555184034464,-0.5917709680112659,-0.23913155199981004,-0.45909907951022666,0.21077196480713742,-0.09676521502951868,5.0,6.0,AS,0,0
AFG,0,-1.648339315325561,-0.11757873574111093,-2.1913266610196356,-2.243776587643334,-0.1476630537149045,-0.5240848596265877,-0.2740114023967081,-0.5917709680112659,-0.3532887625426298,-0.46876680794516906,0.21974232023110302,-0.10300790602519931,6.0,7.0,AS,0,0
AFG,0,-1.638488768680842,-0.20473665730953097,-2.0808761788907106,-2.158012087375563,-0.1476630537149045,-0.19699613013690825,-0.3222656279317292,-0.5917709680112659,-0.43777869428611627,-0.46703201765420466,0.21811890551415733,-0.10186851253080373,7.0,8.0,AS,0,0
AFG,0,-1.6314731694208784,-0.24355703753419713,-2.0081816242790578,-2.1009171188365015,-0.1476630537149045,-0.13220830182707188,-0.34532679361488827,-0.5917709680112659,-0.4930207793608261,-0.4757547393055283,0.2263425719716712,-0.1076835513221252,8.0,9.0,AS,0,0
AFG,0,-1.6310840789664032,-0.27916607139966565,-2.0554842082283424,-1.9865623323798074,-0.1476630537149045,-0.09548075955523433,-0.38366739325308175,-1.7294589540590282,-0.5393951804604277,-0.4211033751829464,0.1773280525904693,-0.07467344146046564,9.0,10.0,AS,0,0
AFG,0,-1.62715977660453,-0.30015043075645437,-1.8987897226223531,-2.021605867254664,-0.1476630537149045,-0.09487071476045944,-0.45923254969918315,-1.7294589540590282,-0.5800405006674095,-0.4224829533281806,0.17849184585290162,-0.07540976218093223,10.0,11.0,AS,0,0
AFG,0,-1.6204946565948395,-0.30843819803455286,-2.0180863989899342,-1.983672353091258,-0.1476630537149045,0.16357022669438037,-0.38018842497949196,-1.7294589540590282,-0.6161977141845748,-0.4322635983556745,0.1868518184633959,-0.08076923940828877,11.0,12.0,AS,0,0
AFG,0,-1.6149827377814934,-0.3239192568375449,-1.789731332983504,-1.931161628944428,-0.1476630537149045,-0.10651352649870557,-0.4769390125218846,-1.7294589540590282,-0.6602962041381419,-0.4320860723772927,0.18669837394243502,-0.08066976711601383,12.0,13.0,AS,0,0
AFG,0,-1.6247504680957263,-0.3579260391399928,-2.1093370535316494,-2.004703204322507,-0.1476630537149045,-0.04116641989273155,-0.4439486366452201,-1.7294589540590282,-0.6943687705343377,-0.373515844108586,0.13951408580014954,-0.05211072152268054,13.0,14.0,AS,0,0
AFG,0,-1.6181928252128717,-0.34662661624227165,-1.7506714704279174,-1.9081389364642831,-0.1476630537149045,-0.02387946552450023,-0.49884732752297084,-1.8230534333479462,-0.694300293856219,-0.3764793577699038,0.14173670682683925,-0.05336094435858958,14.0,15.0,AS,0,0
AFG,0,-1.6068709021838943,-0.39930661174140075,-1.4765747019770785,-1.7177951986810722,-0.1476630537149045,4.706212382177487,-0.28156335300598384,-2.217039519508069,-0.7509849483745339,-0.3747729657310071,0.14045477584281463,-0.05263865289369545,15.0,16.0,AS,0,0
AFG,0,-1.5994757738508543,-0.3870570864624832,-1.0137047104383035,-1.3657639447254395,-0.1476630537149045,-4.905661694548407,-0.7565083470905212,-2.217039519508069,-0.8639956868355847,-0.362554839041193,0.13144601131218536,-0.0476563874738962,16.0,17.0,AS,0,0
AFG,0,-1.6197432865273507,-0.39534134822757666,-0.8340452534899124,-1.4370836320412097,-0.1476630537149045,-1.6713408488928474,-0.5842581531014208,-1.7573183988953331,-0.9496546236844983,-0.31740802814641633,0.10074785633179623,-0.031978178418253886,17.0,18.0,AS,0,0
AFG,0,-1.563113439589464,-0.37958194436006115,-1.1360672913297376,-1.5607172092435628,-0.1476630537149045,-2.515044500569145,-0.7768705637530934,-2.217039519508069,-0.9587598159487674,-0.2530444169925646,0.06403147697110691,-0.016202807759326573,18.0,19.0,AS,0,0
