id,event,log_gdp_pc_ppp,emission_intensity,government_effectiveness,regulatory_quality,reserves_oil,g_debt,government_expenditure,polity2,welfare,spatial_lag,start,stop,region,kyoto,eu
AFG,0,-1.577552624985838,0.6368470217903126,-2.3496078478253697,-2.5080663340488902,-0.1476630537149045,-0.9118461199457748,-0.6861426344919247,1.0334975834855369,-0.06640178785515918,-1.2068880897253482,0.0,1.0,AS,0,0
AFG,0,-1.5635604141974184,0.6201933156468032,-2.3496078478253697,-2.5080663340488902,-0.1476630537149045,-0.9367077104690119,-0.7237708863789383,1.0334975834855369,-0.054081810866375646,-1.2068880897253482,1.0,2.0,AS,0,0
AFG,0,-1.6295341679600852,0.5871170605302786,-2.3496078478253697,-2.4235012826738918,-0.1476630537149045,11.96899373307558,-0.1484430948680954,-1.8919858092087085,-0.09589116337132438,-1.2068880897253482,2.0,3.0,AS,0,0
AFG,0,-1.6285474147342074,0.5809655039290067,-2.3496078478253697,-2.4219492760971306,-0.1476630537149045,-0.00727069669484258,-0.12488531859702542,-1.8919858092087085,-0.09587471580196993,-0.9869838734675054,3.0,4.0,AS,0,0
AFG,0,-1.6336487257278935,0.5552967672178276,-2.3496078478253697,-2.42101816700556,-0.1476630537149045,-0.028314309258600408,-0.1511706308627492,-1.8919858092087085,-0.10713008973528274,-0.8112640212446893,4.0,5.0,AS,0,0
AFG,0,-1.6623560794388972,0.11121463218516701,-2.3391347327197494,-2.356465457448686,-0.1476630537149045,-0.1773073691200965,-0.18996555184034464,-0.5917709680112659,-0.23913155199981004,-0.7690186177089099,5.0,6.0,AS,0,0
AFG,0,-1.648339315325561,-0.11757873574111093,-2.1913266610196356,-2.243776587643334,-0.1476630537149045,-0.5240848596265877,-0.2740114023967081,-0.5917709680112659,-0.3532887625426298,-0.7759409220261622,6.0,7.0,AS,0,0
AFG,0,-1.638488768680842,-0.20473665730953097,-2.0808761788907106,-2.158012087375563,-0.1476630537149045,-0.19699613013690825,-0.3222656279317292,-0.5917709680112659,-0.43777869428611627,-0.7693310713332908,7.0,8.0,AS,0,0
AFG,0,-1.6314731694208784,-0.24355703753419713,-2.0081816242790578,-2.1009171188365015,-0.1476630537149045,-0.13220830182707188,-0.34532679361488827,-0.5917709680112659,-0.4930207793608261,-0.7789205897734235,8.0,9.0,AS,0,0
AFG,0,-1.6310840789664032,-0.27916607139966565,-2.0554842082283424,-1.9865623323798074,-0.1476630537149045,-0.09548075955523433,-0.38366739325308175,-1.7294589540590282,-0.5393951804604277,-0.6603670433168378,9.0,10.0,AS,0,0
