id,event,log_gdp_pc_ppp,g_gdp,exports_share,imports_share,services_share,industry_share,emission_intensity,control_corruption,government_effectiveness,regulatory_quality,rule_of_law,reserves_oil,reserves_gas,reserves_coal,exposure_pm25,g_debt,spatial_lag,start,stop,region,kyoto,eu
AGO,0,-0.387064819234903,0.18555113469084902,1.4752522349046568,0.49250355414815583,-1.445531004518466,2.633547925934977,-0.04381936247780044,-1.1928869615073567,-0.871224104219553,-1.4371226940788715,-1.6466843296684976,-0.11964221999941757,-0.0935749150670114,-0.24150567663757,0.4584831933635157,-0.00413127572311914,-0.6863779695372428,0.0,1.0,AF,0,0
AGO,0,-0.387064819234903,0.5233679165223261,1.4752522349046568,0.49250355414815583,-1.445531004518466,2.633547925934977,-0.06111656298532026,-1.1928869615073567,-0.871224104219553,-1.4371226940788715,-1.6466843296684976,-0.1205794152526679,-0.09382254222262999,-0.24150567663757,0.4584831933635157,-0.00413127572311914,-0.6863779695372428,1.0,2.0,AF,0,0
AGO,0,-0.387064819234903,-0.4816365197820307,1.4752522349046568,0.49250355414815583,-1.445531004518466,2.633547925934977,-0.05497569079937635,-1.1928869615073567,-0.871224104219553,-1.4371226940788715,-1.6466843296684976,-0.10153598083512293,-0.09363491398802817,-0.24150567663757,0.4584831933635157,-0.00413127572311914,-0.6863779695372428,2.0,3.0,AF,0,0
AGO,0,-0.387064819234903,-1.0581174061682077,1.4752522349046568,0.49250355414815583,-1.445531004518466,2.633547925934977,-0.1907940522043004,-1.1928869615073567,-0.871224104219553,-1.4371226940788715,-1.6466843296684976,-0.10305347499974596,-0.09332653576843682,-0.24150567663757,0.4584831933635157,-0.00413127572311914,-0.6182086785966371,3.0,4.0,AF,0,0
AGO,0,-0.406247969191707,-0.32483537623889525,1.4752522349046568,0.49250355414815583,-1.445531004518466,2.633547925934977,-0.17308190620062547,-1.1928869615073567,-0.871224104219553,-1.4371226940788715,-1.6466843296684976,-0.10344688226822035,-0.09414410816665582,-0.24150567663757,0.4584831933635157,-0.00413127572311914,-0.5685701877350614,4.0,5.0,AF,0,0
AGO,0,-0.482208687770983,-1.452404819265491,1.4752522349046568,0.49250355414815583,-1.445531004518466,2.633547925934977,-0.1288189018337172,-1.1928869615073567,-0.871224104219553,-1.4371226940788715,-1.6466843296684976,-0.11014001415007496,-0.09427089999961577,-0.24150567663757,0.4584831933635157,-0.00413127572311914,-0.5397670570862636,5.0,6.0,AF,0,0
AGO,0,-0.732965774602959,-4.448155925787414,1.4752522349046568,0.49250355414815583,-1.445531004518466,2.633547925934977,0.03635845637458197,-1.1928869615073567,-0.871224104219553,-1.4371226940788715,-1.6466843296684976,-0.11766979570504278,-0.09439039237689,-0.24150567663757,0.4584831933635157,-0.00413127572311914,-0.5444608501558843,6.0,7.0,AF,0,0
AGO,0,-0.7482813969969252,-0.2673801039236764,1.4752522349046568,0.49250355414815583,-1.445531004518466,2.633547925934977,-0.008445708613684016,-1.1928869615073567,-0.871224104219553,-1.4371226940788715,-1.6466843296684976,-0.11861393058391188,-0.09450749529153642,-0.24150567663757,0.4584831933635157,-0.00413127572311914,-0.5476202102940295,7.0,8.0,AF,0,0
AGO,0,-0.6606613493798276,1.9879827430973043,1.4752522349046568,0.49250355414815583,-1.445531004518466,2.633547925934977,-0.021157008032473317,-1.1928869615073567,-0.871224104219553,-1.4371226940788715,-1.6466843296684976,-0.04624163351689544,-0.09462409458964857,-0.24150567663757,0.4096387873660502,-0.00413127572311914,-0.5458545106687166,8.0,9.0,AF,0,0
AGO,0,-0.5838174149677497,1.747659064457706,1.4752522349046568,0.49250355414815583,-2.0031197524853988,3.2165279056252705,0.01987840840644972,-1.1928869615073567,-0.871224104219553,-1.4371226940788715,-1.6466843296684976,-0.04956348321053576,-0.09473828512251523,-0.24150567663757,0.4096387873660502,-4.083851293460596,-0.4972556859454823,9.0,10.0,AF,0,0
AGO,0,-0.5535895791317484,0.7124705978120687,1.4752522349046568,0.49250355414815583,-1.6444351793141083,2.670107713565664,0.003273801919863541,-1.1928869615073567,-0.871224104219553,-1.4371226940788715,-1.6466843296684976,-0.05278129696165816,-0.09503010025191097,-0.24150567663757,0.4096387873660502,-1.6431569832235957,-0.5033253974503946,10.0,11.0,AF,0,0
AGO,0,-0.5428867022169931,0.28599724646239555,1.4752522349046568,0.49250355414815583,-1.5252008394007102,2.23683170278006,-0.0018927698732832746,-1.4338949542742117,-1.3600829891496111,-1.7158973181614015,-1.7169845111387059,-0.055845673957202385,-0.0951294710313785,-0.24150567663757,0.4096387873660502,2.0195371275456426,-0.5016019145548203,11.0,12.0,AF,0,0
AGO,0,-0.551646741590851,-0.1283455636291491,1.4752522349046568,0.49250355414815583,-2.296402142005367,3.595358228540578,0.021125517303938645,-1.4338949542742117,-1.3600829891496111,-1.7158973181614015,-1.7169845111387059,-0.05876083290830752,-0.09535994827671612,-0.24150567663757,0.4096387873660502,0.7465137721608004,-0.4983363638829313,12.0,13.0,AF,0,0
AGO,0,-0.5535753555249489,0.015808417358736927,1.4752522349046568,0.49250355414815583,-2.2103942618782906,3.5493714432521988,-0.05325729739439355,-1.5521541820485496,-1.4823649250166158,-1.8273526962040068,-1.6795298899541773,-0.061598648958294366,-0.09544774814894737,-0.24150567663757,0.4431603323364511,-0.26774901853294547,-0.4674363631162709,13.0,14.0,AF,0,0
AGO,0,-0.5467312736548188,0.20589962218921495,1.0354958466818105,0.8858089701857872,-1.8757026524673823,2.9893189465174403,-0.08834488755815031,-1.5521541820485496,-1.4823649250166158,-1.8273526962040068,-1.6795298899541773,-0.06438011289165332,-0.0955338045295101,-0.24150567663757,0.4431603323364511,-1.3771199294722338,-0.46870301030840006,14.0,15.0,AF,0,0
AGO,0,-0.46905274202522346,1.7676887590012027,0.4724867293262751,0.015916069134058995,-1.1038943452143195,2.307891528837789,-0.16359645419627122,-1.2090061813617148,-1.2556583330057818,-1.4857152145135053,-1.633541304449123,-0.06711190099951664,-0.09561832397777892,-0.24150567663757,0.4431603323364511,-2.679425860343087,-0.4780732497694292,15.0,16.0,AF,0,0
