id,event,log_gdp_pc_ppp,g_gdp,exports_share,imports_share,services_share,industry_share,emission_intensity,control_corruption,government_effectiveness,regulatory_quality,rule_of_law,reserves_oil,reserves_gas,reserves_coal,exposure_pm25,g_debt,government_expenditure,belief,polity2,welfare,spatial_lag,start,stop,region,kyoto,eu
AFG,0,-1.577552624985838,-0.25404995292475235,0.17615530967085913,-0.11699363181259416,-1.5617925311658898,0.971023960523908,0.6368470217903126,-1.813684310115924,-2.3496078478253697,-2.5080663340488902,-2.183391300616445,-0.1476630537149045,-0.09221098475009858,-0.22714248355267633,2.6475862344004173,-0.9118461199457748,-0.6861426344919247,-1.9934898587561396,1.0334975834855369,-0.06640178785515918,-0.6863779695372428,0.0,1.0,AS,0,0
AFG,0,-1.5635604141974184,0.6402763525588167,0.1624594040479575,-0.10811628356121414,-1.5450110297672448,0.9830167092292811,0.6201933156468032,-1.813684310115924,-2.3496078478253697,-2.5080663340488902,-2.1906183403279904,-0.1476630537149045,-0.09252055960709771,-0.2272264511845292,2.6635698562006875,-0.9367077104690119,-0.7237708863789383,-1.9934898587561396,1.0334975834855369,-0.054081810866375646,-0.6863779695372428,1.0,2.0,AS,0,0
AFG,0,-1.6295341679600852,-0.8265349091682886,0.32765607897313287,-0.0798961881570577,-1.5174552845405958,0.6910048848789652,0.5871170605302786,-1.813684310115924,-2.3496078478253697,-2.4235012826738918,-2.017048663751126,-0.1476630537149045,-0.08919324124141106,-0.227614040497051,2.3500661398595004,11.96899373307558,-0.1484430948680954,-1.9934898587561396,-1.8919858092087085,-0.09589116337132438,-0.6863779695372428,2.0,3.0,AS,0,0
AFG,0,-1.6285474147342074,-0.22369931415177272,0.31813028162311824,-0.07852036743720865,-1.5150423869387342,0.6891014961607094,0.5809655039290067,-1.813684310115924,-2.3496078478253697,-2.4219492760971306,-2.0161066919903097,-0.1476630537149045,-0.08921127457334703,-0.22764213344117512,2.241837745474001,-0.00727069669484258,-0.12488531859702542,-1.9934898587561396,-1.8919858092087085,-0.09587471580196993,-0.5496641166352864,3.0,4.0,AS,0,0
AFG,0,-1.6336487257278935,-0.5862416366134292,0.3244199793456451,-0.07835931266389637,-1.5215231882238196,0.6890329169557178,0.5552967672178276,-1.813684310115924,-2.3496078478253697,-2.42101816700556,-2.017412917583209,-0.1476630537149045,-0.08925800785912759,-0.22770712270884733,2.3520007427476024,-0.028314309258600408,-0.1511706308627492,-1.9934898587561396,-1.8919858092087085,-0.10713008973528274,-0.4556017223074072,4.0,5.0,AS,0,0
AFG,0,-1.6623560794388972,0.9915176499421948,0.2790923378768163,-0.13410007036476349,-1.5169414115092332,0.6201415652564899,0.11121463218516701,-1.813684310115924,-2.3391347327197494,-2.356465457448686,-1.999557172153547,-0.1476630537149045,-0.09022146705532226,-0.22920888292346595,2.346394857408916,-0.1773073691200965,-0.18996555184034464,-1.9934898587561396,-0.5917709680112659,-0.23913155199981004,-0.45909907951022666,5.0,6.0,AS,0,0
AFG,0,-1.648339315325561,4.833894603007225,0.25295964014991523,-0.12746698772012652,-1.4239639532714445,0.4954930403372429,-0.11757873574111093,-1.813684310115924,-2.1913266610196356,-2.243776587643334,-1.953249867487178,-0.1476630537149045,-0.09137566188202666,-0.2309179654569563,2.3086224106386966,-0.5240848596265877,-0.2740114023967081,-1.9934898587561396,-0.5917709680112659,-0.3532887625426298,-0.46876680794516906,6.0,7.0,AS,0,0
AFG,0,-1.638488768680842,2.2047936152607526,0.23356523550354433,-0.12406645358543912,-1.3532550681819904,0.39771707631793773,-0.20473665730953097,-1.813684310115924,-2.0808761788907106,-2.158012087375563,-1.9157336192772714,-0.1476630537149045,-0.09200829052031935,-0.2319125066528861,2.2749900842953905,-0.19699613013690825,-0.3222656279317292,-1.9934898587561396,-0.5917709680112659,-0.43777869428611627,-0.46703201765420466,7.0,8.0,AS,0,0
AFG,0,-1.6314731694208784,1.0161572755490536,0.2164669974571247,-0.12170717022918949,-1.3054585202759694,0.33254854571520687,-0.24355703753419713,-1.7915154360685022,-2.0081816242790578,-2.1009171188365015,-1.8906029672002793,-0.1476630537149045,-0.09236633014480719,-0.23247537266111704,2.2236605476861557,-0.13220830182707188,-0.34532679361488827,-1.9934898587561396,-0.5917709680112659,-0.4930207793608261,-0.4757547393055283,8.0,9.0,AS,0,0
AFG,0,-1.6310840789664032,0.37400428578609113,0.2147154935549454,-0.0737549856336851,-1.2787318436328046,0.2884574419732618,-0.27916607139966565,-1.263806656602964,-2.0554842082283424,-1.9865623323798074,-1.7429721544924484,-0.1476630537149045,-0.09259724568193228,-0.2328383897623835,2.239203476456608,-0.09548075955523433,-0.38366739325308175,-1.9934898587561396,-1.7294589540590282,-0.5393951804604277,-0.4211033751829464,9.0,10.0,AS,0,0
AFG,0,-1.62715977660453,0.4155102473392112,0.2382791411864419,-0.06719409438351845,-1.2465090379697092,0.24284074230065905,-0.30015043075645437,-1.7597709754074429,-1.8987897226223531,-2.021605867254664,-1.8568118368671234,-0.1476630537149045,-0.0928086866406552,-0.23317079131872837,2.2238188518350603,-0.09487071476045944,-0.45923254969918315,-1.9934898587561396,-1.7294589540590282,-0.5800405006674095,-0.4224829533281806,10.0,11.0,AS,0,0
