iso,year,price_first_proximity_gdp_igo
LVA,1985,0.0
LVA,1986,0.0
LVA,1987,0.0
LVA,1988,0.0
LVA,1989,0.0
LVA,1990,0.0
LVA,1991,0.06394181043666843
LVA,1992,0.10917869950853429
LVA,1993,0.12230458458652853
LVA,1994,0.12048531414095079
LVA,1995,0.13172037815586052
LVA,1996,0.15183459891322562
LVA,1997,0.15194238563771506
LVA,1998,0.15266539703213652
LVA,1999,0.15882215081872336
LVA,2000,0.38363643689426385
LVA,2001,0.37678509193652665
LVA,2002,0.37819365296456153
LVA,2003,0.3703137944738913
LVA,2004,0.3940056301431526
LVA,2005,0.4246735962698703
LVA,2006,0.4223000790500129
LVA,2007,0.4288964899805685
LVA,2008,0.44619339324471524
LVA,2009,0.44327726172876175
LVA,2010,0.44772104260743545
LVA,2011,0.4736753373922332
LVA,2012,0.47321704310574647
LVA,2013,0.4833800011302921
LVA,2014,0.4876529078717694
LVA,2015,0.49055488020696775
LVA,2016,0.490576646976634
LVA,2017,0.4934733237124524
LVA,2018,0.4948172388987086
LVA,2019,0.4988300208772453
LVA,2020,0.499098249337311
LVA,2021,0.49919122712703157
SRB,1985,0.0
SRB,1986,0.0
SRB,1987,0.0
SRB,1988,0.0
SRB,1989,0.0
SRB,1990,0.08465083358745783
SRB,1991,0.11414718051284384
SRB,1992,0.10692162410981557
SRB,1993,0.09124230556224382
SRB,1994,0.0918886961974218
SRB,1995,0.08375755878542844
SRB,1996,0.13019489077352872
SRB,1997,0.1258942927814798
SRB,1998,0.12285338911152048
SRB,1999,0.12091034636122112
SRB,2000,0.13329142549324302
SRB,2001,0.1379122748983929
SRB,2002,0.1426701042299084
SRB,2003,0.13997854103520818
SRB,2004,0.14704234074398298
SRB,2005,0.17223212096780513
SRB,2006,0.16277878989111316
SRB,2007,0.1539902508065546
SRB,2008,0.17742784316191978
SRB,2009,0.17746500902690834
SRB,2010,0.18161712634078697
SRB,2011,0.2042220020306564
SRB,2012,0.20922206953356537
SRB,2013,0.21556687199852254
SRB,2014,0.21493246538558985
SRB,2015,0.21692301892115806
SRB,2016,0.2168838968316909
SRB,2017,0.21930607190393406
SRB,2018,0.22059618444791299
SRB,2019,0.2241017777775215
SRB,2020,0.22434704475077002
SRB,2021,0.22423992183868488
SUR,1985,0.0
SUR,1986,0.0
SUR,1987,0.0
SUR,1988,0.0
SUR,1989,0.0
SUR,1990,0.006254318646316945
SUR,1991,0.01093609558645513
SUR,1992,0.01322993478246186
SUR,1993,0.013145258901721746
SUR,1994,0.012718073797857235
SUR,1995,0.01245947373573511
SUR,1996,0.016259983064170893
SUR,1997,0.01651331724618366
SUR,1998,0.016299015958007465
SUR,1999,0.015900941610793296
SUR,2000,0.017939969822943533
SUR,2001,0.017978152977789645
SUR,2002,0.017922848948175946
SUR,2003,0.0182065848090426
SUR,2004,0.020769226927987487
SUR,2005,0.024146033500655053
SUR,2006,0.024190707081919813
SUR,2007,0.027746093993993335
SUR,2008,0.03287166806659811
SUR,2009,0.037022784065923846
SUR,2010,0.03903846291317357
SUR,2011,0.04177591577673925
SUR,2012,0.04272333246770382
SUR,2013,0.047481396965664696
SUR,2014,0.05425846510448098
SUR,2015,0.05599513754592322
SUR,2016,0.055985942356342785
SUR,2017,0.08232843016319247
SUR,2018,0.09024844005092258
SUR,2019,0.09440495714878112
SUR,2020,0.09430663578738319
SUR,2021,0.09427630905318408
KEN,1985,0.0
KEN,1986,0.0
KEN,1987,0.0
KEN,1988,0.0
KEN,1989,0.0
KEN,1990,0.006604358278147761
KEN,1991,0.011872197848284747
KEN,1992,0.01416187990246027
KEN,1993,0.014243976540859689
KEN,1994,0.01400450059573953
KEN,1995,0.014760265372737997
KEN,1996,0.018283671611470993
KEN,1997,0.018108067616241362
KEN,1998,0.019035403676101143
KEN,1999,0.0194712491038899
KEN,2000,0.022418586057800872
KEN,2001,0.02282075173290545
KEN,2002,0.02173828269793711
KEN,2003,0.02171892511585667
KEN,2004,0.024340519965481294
KEN,2005,0.028689482332860866
KEN,2006,0.0288433815633849
KEN,2007,0.030825094870732376
KEN,2008,0.03637663668596036
KEN,2009,0.0377634546484517
KEN,2010,0.040702047942310374
KEN,2011,0.04369374708347228
KEN,2012,0.04565545814537889
KEN,2013,0.051217043974309234
KEN,2014,0.05248067136103207
KEN,2015,0.055144401370836364
KEN,2016,0.05512148679741595
KEN,2017,0.05873577394076875
KEN,2018,0.06079469027311336
KEN,2019,0.0750666423177522
KEN,2020,0.07504236481462799
KEN,2021,0.07506048322729478
MKD,1985,0.0
MKD,1986,0.0
MKD,1987,0.0
MKD,1988,0.0
MKD,1989,0.0
MKD,1990,0.0
MKD,1991,0.0
MKD,1992,0.0
MKD,1993,0.03978311566703251
MKD,1994,0.04301674974386952
MKD,1995,0.04526352311040975
MKD,1996,0.0870651897640653
MKD,1997,0.08806234085981217
MKD,1998,0.08814225989173399
MKD,1999,0.087887179885354
MKD,2000,0.09929268651065805
MKD,2001,0.09694603618627796
MKD,2002,0.09415916148795718
MKD,2003,0.09127029308006146
MKD,2004,0.09991417614818057
MKD,2005,0.11676035824526022
MKD,2006,0.11001161842254711
MKD,2007,0.10501315225699909
MKD,2008,0.12501726279782233
MKD,2009,0.12858772190199486
MKD,2010,0.13103759821753097
MKD,2011,0.15035546914407483
MKD,2012,0.15119692397769627
MKD,2013,0.1572023344984761
MKD,2014,0.1566477506601054
MKD,2015,0.15819459602106134
MKD,2016,0.15815775923932718
MKD,2017,0.16028802376889148
MKD,2018,0.1612922622237322
MKD,2019,0.16439292263456579
