iso,direct,indirect
AFG,0.03622804469511892,0.1605135613653772
AGO,0.10613266920250508,0.09476686199236894
ALB,0.022975994406790462,0.11956782853958714
ARE,0.8661386043665367,0.2939339601028337
ARG,0.7779530603295708,
ARM,0.021512446939870145,0.14756081108278352
ATG,0.002093099093822619,0.018995391915126447
AUS,1.6823597706163884,
AUT,0.2822195535258125,
AZE,0.13910667683681333,0.17311116464702536
BDI,0.00133153556311192,0.07253713885108937
BEL,0.39854809385181733,
BEN,0.03382274129258753,0.10536875156059011
BFA,0.01473842035927786,0.05142283295438688
BGD,0.42898995271033913,0.1702192098318278
BGR,0.17097894489552856,
BHR,0.14484820726729364,0.40082440102811745
BHS,0.008641677282922956,0.05397097080073365
BIH,0.113175715406029,0.09540740116742086
BLR,0.25592181268173686,0.08650567892547656
BLZ,0.0017662929977944938,0.06138321916181155
BOL,0.0958101507080954,0.018881593496942628
BRA,1.8867591428155936,0.06921719064382614
BRB,0.005489964090657065,0.012798995900936916
BRN,0.028570437758711986,0.12224642979774103
BTN,0.004989569251857867,0.21317947503597168
BWA,0.030275545137441323,0.039845726940683335
CAF,0.0017026875012093167,0.060125046369705615
CAN,2.3134291949338177,
CHE,0.15805434123283313,
CHL,0.3460266634319904,
CHN,46.09055769499679,
CIV,0.049371830699866115,0.06479626898941149
CMR,0.04089878778111655,0.11617718789841547
COD,0.011325113958528268,0.10667656813423321
COG,0.024987611762919137,0.08685518602344189
COL,0.3807866634146446,
COM,0.0011821395482668647,0.06560070337944524
CPV,0.003685659776866315,0.04631964022631507
CRI,0.03320330629948323,0.055236355757557476
CUB,0.10394484126309456,0.07746200587791918
CYP,0.028659108134390127,
CZE,0.4181093243289702,
DEU,2.8081885210656026,
DJI,0.003960181643260136,0.10333020423115613
DMA,0.0006957403354162332,0.03858884840033738
DNK,0.1239177288948341,
DOM,0.1108622285705877,0.03772324042517994
DZA,0.6998191214206742,0.09529772156592742
ECU,0.1576717479093941,0.06027475512084379
EGY,1.1237508595501025,0.15189239745174632
ERI,0.003209893464734978,0.07205988975844946
ESP,1.0417497279386936,
EST,0.06935916836082834,
ETH,0.07194632373319237,0.10267002945769832
FIN,0.17318856818674733,
FJI,0.010102909657726172,0.0707032477272378
FRA,1.265366387546127,
FSM,0.0,0.008022527609867325
GAB,0.024712972272784267,0.10253129115963588
GBR,1.4605967239914754,
GEO,0.043034379913574006,0.08676933471403458
GHA,0.07180945262903915,0.14911676052842893
GIN,0.012491714519922328,0.14397535608887324
GMB,0.002366883769593849,0.07815721978241186
GNB,0.0013230332186128044,0.05121914536577776
GNQ,0.018566283726398514,0.07744482234554084
GRC,0.2567178875461509,
GRD,0.0008449591196511416,0.01365439329902074
GTM,0.08133796714813857,0.037852650527653964
GUY,0.006954386242523765,0.04405685222461386
HND,0.04543665528634011,0.06215818408830387
HRV,0.07377994677810978,
HTI,0.013677123610306333,0.06451864878526692
HUN,0.19836944002823653,
IDN,2.586436373042158,0.17026649805369232
IND,10.104407911645232,0.11083719693370142
IRL,0.14567476877972851,
IRN,2.725116798478126,0.22989731857781237
IRQ,0.8215645971690826,0.2583021273863153
ISL,0.015314008431783752,
ISR,0.2757018868149408,0.22173063002091453
ITA,1.316628648422716,
JAM,0.03472118322329662,0.043712657426937085
JOR,0.10838174756160679,0.22582192740254925
JPN,4.553851464545723,
KAZ,1.0914061499002186,
KEN,0.07602409279131866,0.12583653285980745
KGZ,0.05075389380393863,0.15294378442666812
KHM,0.0468919382384001,0.15741697071632643
KIR,0.0002665210179749792,0.03160597022056777
KNA,0.0006345676740042742,-0.009630102320116407
KOR,2.6251085061772415,
KWT,0.4029002225494449,0.24469241387632223
LAO,0.09202827765961108,0.1629308542402157
LBN,0.11257108529195736,0.2180648953259663
LBR,0.005559663688013215,0.08535822653495018
LBY,0.22292104195610052,0.11600483156402674
LCA,0.0013232404055176367,0.0206547298217572
LKA,0.10183175091826346,0.1941838004422607
LSO,0.002818985886947605,0.056103660604662764
LTU,0.05387723725059068,
LUX,0.03862088257529922,
LVA,0.034136528188782655,
