iso,direct,indirect
AFG,0.003932734112221836,0.023484259277836372
AGO,0.011521228156430974,0.014440790841890205
ALB,0.0024941582612648394,0.011756327381933218
ARE,0.09402364560302612,0.019038416684081128
ARG,0.08445066698500803,
ARM,0.002335282917689141,0.022102101457463164
ATG,0.00022721629819690004,-0.033360919729325644
AUS,0.18262850547449538,
AUT,0.030636333664358695,
AZE,0.015100720390456512,0.02351690724500166
BDI,0.00014454479602075444,0.013918455656014572
BEL,0.04326437425046059,
BEN,0.0036716264863208004,0.030530738151686165
BFA,0.0015999287015069363,0.010268580332997601
BGD,0.04656898916357166,0.014470691273569258
BGR,0.01856061332376946,
BHR,0.015723992023533473,0.03376488574929226
BHS,0.0009380969722040389,-0.0006355804857935965
BIH,0.012285785788278103,0.015494993937718249
BLR,0.027781583335926507,0.01103198624748103
BLZ,0.0001917398739861003,0.01171733717557899
BOL,0.010400667525885199,-0.008790524235667618
BRA,0.20481707210372946,0.016815579456194385
BRB,0.0005959628579432774,-0.019702332613578122
BRN,0.003101462861724219,0.009812515978040892
BTN,0.0005416425138925138,0.022643059849453806
BWA,0.0032865607329939373,0.007177842352513508
CAF,0.0001848351815509873,0.018107229304245465
CAN,0.25113422454046486,
CHE,0.01715758342969198,
CHL,0.03756291222641206,
CHN,5.0033588625572065,
CIV,0.005359557337698773,0.012706997876136938
CMR,0.0044397664629410305,0.014554052355828517
COD,0.0012293973457392915,0.021483212356036674
COG,0.002712529312304507,0.0254390716621824
COL,0.04133628279672674,
COM,0.0001283271169062565,0.017048615425160563
CPV,0.00040009666689184986,0.004799223586099188
CRI,0.0036043837425242253,0.0130073746465591
CUB,0.011283728571747309,0.009936364263513298
CYP,0.003111088471223933,
CZE,0.0453878429339607,
DEU,0.3048428057126813,
DJI,0.0004298973784014927,0.014712154405934541
DMA,7.552606753598052e-05,-0.028113887700316198
DNK,0.013451884683123083,
DOM,0.012034645306574498,-0.0064147044103943784
DZA,0.0759688400066203,0.0207244428903941
ECU,0.017116051024979928,0.011416286886118954
EGY,0.12198873486502926,0.01440076464133
ERI,0.0003484498716835767,0.01606152482111156
ESP,0.1130871049194182,
EST,0.007529282071486343,
ETH,0.007810130631549228,0.019967032038158194
FIN,0.018800478902098794,
FJI,0.001096721001036749,0.0029127021309598433
FRA,0.13736180350445437,
FSM,0.0,-0.007475722716989708
GAB,0.0026827158321537925,0.016521153227827767
GBR,0.1585550257813022,
GEO,0.004671595591445976,0.01501891579175485
GHA,0.007795272593672409,0.025628221564007347
GIN,0.0013560376284744435,0.03675144635854011
GMB,0.00025693698400455073,0.024089230696171526
GNB,0.00014362182431397474,0.024614119371410226
GNQ,0.0020154622741158923,0.022546392935689497
GRC,0.027868001214713667,
GRD,9.172450738785445e-05,-0.03208080620758835
GTM,0.008829640150724405,0.0015847852617234537
GUY,0.0007549331529124459,0.001290939735921981
HND,0.004932374509682813,0.005538919424104449
HRV,0.008009179516422438,
HTI,0.001484719670409737,0.010347722129838033
HUN,0.02153398755540592,
IDN,0.2807705091167847,0.020346345891734785
IND,1.096883643938014,0.010866814470332997
IRL,0.015813719379319746,
IRN,0.29582495780147866,0.03451211777055896
IRQ,0.08918491582616284,0.026634164404386595
ISL,0.001662411644386727,
ISR,0.029928808584779087,0.020405578325538798
ITA,0.14292657642321416,
JAM,0.00376915681837392,-0.0009179464633852774
JOR,0.011765376778260839,0.029811460293716507
JPN,0.4943431848813873,
KAZ,0.11847755605147459,
KEN,0.008252792707618029,0.026055560960253743
KGZ,0.005509587149143791,0.027806298774040172
KHM,0.005090352699139766,0.0026324808132489608
KIR,2.8932179692146322e-05,0.005926358017822153
KNA,6.888547143716305e-05,-0.03019078367546868
KOR,0.2849685611632786,
KWT,0.04373681942750407,0.015773712422205932
LAO,0.009990126430691304,0.019695774533166954
LBN,0.01222015018760203,0.020889331745660655
LBR,0.0006035290952723232,0.015787516052068185
LBY,0.024199185835466874,0.010065857076341445
LCA,0.00014364431548111005,-0.04043577098934392
LKA,0.011054342124003358,0.022045793422922344
LSO,0.00030601491338461476,0.014961514851982827
LTU,0.005848641586671477,
LUX,0.004192488543784345,
LVA,0.0037056896117536042,
MAR,0.03161587427048751,0.01910570536946743
MDA,0.003735467332421194,0.005663454899945464
MDG,0.0020641142073025698,0.018367583101227325
MDV,0.0007578745681439472,-0.00354233368991963
MEX,0.21175002670354282,
MHL,0.0,0.0018811714943929303
MKD,0.003820987327923797,-0.007488506659822036
MLI,0.001710771720543458,0.02625109954488991
MLT,0.0007022013506661276,
MMR,0.014557160193479524,0.040983880448397514
MNG,0.009585452618587564,0.003835769258113686
MOZ,0.004663154182186269,0.025005758262720335
MRT,0.001338423495746685,0.011354549460977026
MUS,0.0017143127326999519,0.014245507614194963
MWI,0.0006899718787610892,0.02332580068824086
MYS,0.11194243122983316,0.011725699576320636
NAM,0.0018697846762074782,0.01155239213212056
NER,0.0010587632137486064,0.006124319771810605
NGA,0.05761838518857276,0.013024567046066693
NIC,0.002370825484714012,0.013898537580203651
NLD,0.06787051657232368,
NOR,0.020425042505137103,
NPL,0.005437386281445633,0.033842462221290504
NZL,0.01593303106039956,
OMN,0.037509631962335366,0.016629034304203927
PAK,0.09324288112033674,0.0376649722914113
PAN,0.004395716513282466,0.0014316569062664541
PER,0.023771693119175152,-0.006138833663058563
PHL,0.06520983175394424,0.010775483481989312
PLW,0.0005647515498581196,0.005934913428989219
PNG,0.003229858987261802,0.010975940081896951
POL,0.13613169642032474,
PRT,0.02102233614864346,
PRY,0.003877112607763522,-0.004103486736410034
QAT,0.043851251726981566,0.032045574028497725
ROU,0.034630426771518064,
RUS,0.7653943858144032,0.014476105849226428
RWA,0.0005020579956760002,0.013489159742970713
SAU,0.2589787459341295,0.01284817594623
SDN,0.010095305077068684,0.02664920955594141
SEN,0.00461859709036333,0.009382964248700887
SGP,0.024789758562005826,
SLB,0.00013882859472856036,0.015769500499830613
SLE,0.00048713064740826817,0.013983503055346347
