iso,direct,indirect
AFG,0.01895191086134007,0.08654499736420007
AGO,0.055520989419364675,0.05145562548262461
ALB,0.012019389995033547,0.0615516434973955
ARE,0.45310150635128554,0.14571609240579164
ARG,0.4069691637445505,
ARM,0.011253767081408544,0.0799659951764582
ATG,0.0010949591065129317,-0.009308710461517933
AUS,0.8800897944603161,
AUT,0.14763699964378763,
AZE,0.07277062181563787,0.09233163711837733
BDI,0.0006965637674671791,0.04087704902215705
BEL,0.20849173650418695,
BEN,0.017693628884962953,0.06504647974571753
BFA,0.007710082927098391,0.029326287152763086
BGD,0.2244167305356184,0.0862319356335135
BGR,0.08944390319973894,
BHR,0.07577417814449472,0.20283768819911074
BHS,0.00452070485549802,0.024465915899128277
BIH,0.05920540531773277,0.05230644463746614
BLR,0.1338799105012236,0.04579373260401809
BLZ,0.0009239976303142983,0.03458672067456803
BOL,0.0501209891704707,0.003907090157525772
BRA,0.9870168647627082,0.040948339699710345
BRB,0.0028719548889181087,-0.0047767749068370335
BRN,0.01494600092909587,0.06184031233086529
BTN,0.002610184250723145,0.11050037776559662
BWA,0.015837990638246396,0.022218284559237134
CAF,0.0008907238030426892,0.037441377999364533
CAN,1.2102199899381993,
CHE,0.08268267888871361,
CHL,0.18101629652382423,
CHN,24.111269275946313,
CIV,0.025827795630690042,0.036617422997572646
CMR,0.021395308162160287,0.061472633147076294
COD,0.005924486183088537,0.060798782136139096
COG,0.01307172370890941,0.0538129323278298
COL,0.19920023183569047,
COM,0.0006184105030497804,0.03933661023819468
CPV,0.0019280724682833351,0.023945114965755465
CRI,0.017369584988238707,0.032428727494860254
CUB,0.054376474984854095,0.04121445633683862
CYP,0.014992386900793658,
CZE,0.2187247672807855,
DEU,1.4690425326830905,
DJI,0.00207168259091536,0.05556712698036392
DMA,0.0003639613710983364,0.0025734706145570385
DNK,0.06482485521695891,
DOM,0.05799515517442111,0.013904138373256103
DZA,0.3660950989721199,0.055071505915563534
ECU,0.08248253354211865,0.03384695941703342
EGY,0.5878657349513885,0.07761931952376955
ERI,0.0016791857062672666,0.04180534511272782
ESP,0.5449686327227985,
EST,0.03628373508019328,
ETH,0.03763714894544912,0.05819519433213571
FIN,0.09059981939683803,
FJI,0.005285116679211652,0.03426533558625522
FRA,0.661948807492255,
FSM,0.0,-0.0002738187859847585
GAB,0.012928052053984562,0.05613783191419941
GBR,0.7640792968653187,
GEO,0.022512496574373042,0.048316265873666
GHA,0.03756554781468879,0.08260584183605602
GIN,0.006534767804313002,0.08617204082694485
GMB,0.001238183583960821,0.049054461222148404
GNB,0.0006921159515164213,0.036901065644755704
GNQ,0.00971254609985786,0.04792891899271723
GRC,0.13429635969124454,
GRD,0.00044202192119030797,-0.011229053007134837
GTM,0.04255018221399676,0.0182585869402061
GUY,0.0036380353748817623,0.02090121569503367
HND,0.023769194503068858,0.03157483145047735
HRV,0.038596368820356,
HTI,0.007154888696959655,0.035333551348713854
HUN,0.10377264289771637,
IDN,1.353037736453576,0.08952141240470013
IND,5.285900458048204,0.056948623356468886
IRL,0.0762065757590199,
IRN,1.4255853741523126,0.12452610528993091
IRQ,0.42978358736757993,0.13347415326997947
ISL,0.008011189264323704,
ISR,0.1442274245599573,0.11304927988227575
ITA,0.688765540408971,
JAM,0.01816362917143116,0.019643631606427903
JOR,0.05669754567407226,0.12004634593993302
JPN,2.382248000358725,
KAZ,0.5709453060604766,
KEN,0.03977034482596409,0.0720907549334413
KGZ,0.02655079177838604,0.08554518250724641
KHM,0.024530494016127724,0.07407670613795858
KIR,0.00013942465340990276,0.017714873584758095
KNA,0.00033196022844802445,-0.020732343825521582
KOR,1.3732682188370973,
KWT,0.2107684576418758,0.12134273044806321
LAO,0.04814258482911138,0.08563376782737464
LBN,0.05888910627034005,0.111866904415308
LBR,0.0029084167119969306,0.047793081566751994
LBY,0.11661627757785897,0.05892832690204841
LCA,0.0006922243368235811,-0.012338475630485846
LKA,0.05327105789170927,0.10131302124835884
LSO,0.0014746909389786837,0.033965436157451734
LTU,0.02818470073175211,
LUX,0.020203671771774345,
LVA,0.017857779650928746,
MAR,0.15235742205798464,0.04517853024685792
MDA,0.018001278980311924,0.05950870020502208
MDG,0.009947000572160164,0.04555576360243663
MDV,0.0036522101036284144,0.03457211059242127
MEX,1.0204268878743754,
MHL,0.0,0.0033457696853815833
MKD,0.01841340125590399,0.020870682339705127
MLI,0.008244237272761856,0.05321866394520214
MLT,0.0033839199459682195,
MMR,0.07015119621835031,0.13042270618478113
MNG,0.046192455022198264,0.04224827045113955
MOZ,0.0224718172832567,0.05637280505776232
MRT,0.006449885006790834,0.03633662443289154
MUS,0.008261301469026788,0.04037701444113395
MWI,0.0033249859181870497,0.05393216008256019
MYS,0.5394524312427844,0.0786469462997772
NAM,0.009010523341320908,0.041734997750886293
NER,0.005102197473221326,0.05072910439098166
NGA,0.27766395309426883,0.04784677928972769
NIC,0.011425047300924418,0.026957178353065103
NLD,0.32706914413420396,
NOR,0.09842861832267324,
NPL,0.02620285460041244,0.1574477651149877
NZL,0.07678154072741561,
OMN,0.18075953804826161,0.11729563174074542
PAK,0.4493389893701192,0.1633343025339471
PAN,0.021183030724745644,-0.011980499462445948
PER,0.11455618309350024,0.012543658859662798
PHL,0.31424725990070357,0.07589359810783947
PLW,0.002721547078011831,-0.006294457371566864
PNG,0.015564743985883617,0.039502807549745
POL,0.6560209010680982,
PRT,0.10130698628927481,
PRY,0.01868386990957785,0.024787802369331757
QAT,0.21131990878946594,0.21345300857466043
ROU,0.16688460051859133,
RUS,3.6884482296032104,0.03389312499583497
RWA,0.0024194258014303277,0.027533612095517412
SAU,1.2480228685361965,0.10621381716862288
SDN,0.048649442469058335,0.09433482277789551
SEN,0.022257095919347436,0.028383430904106888
SGP,0.11946225733421278,
SLB,0.0006690172987093533,0.021109965408498965
SLE,0.0023474906627472744,0.04580919997324884
SLV,0.015563161314083446,0.03230177101299603
SOM,0.0019034683187843862,0.06251602296227787
SRB,0.19854979829790187,0.01645840841666768
STP,0.000342668431514888,0.04889703563407011
SUR,0.004117086066901775,0.006785046937132222
SVK,0.07321720614007332,
SVN,0.03141546825713931,
SWE,0.09152962242381801,
SWZ,0.0034335127292139944,0.01975704666531186
SYC,0.002581901633191379,0.034285225522623364
SYR,0.05472008250608773,0.11255147684695288
TCD,0.001859544044449487,0.06517035853364206
TGO,0.006446762111663215,0.076491768170726
THA,0.5596335772059646,0.13711393254180138
TJK,0.018130476833825543,0.09148863373046368
TKM,0.1693249725507835,0.1035670848917647
TLS,0.0022696470811318856,0.030703390545987475
TON,0.0002712548925640863,0.012191049985737834
TTO,0.0664960254040895,0.02613458080041653
TUN,0.06515188229515234,0.07345047207553534
TUR,0.8615214142929322,0.063572356690905
TUV,8.657425409585145e-08,0.01744618855137503
TZA,0.024907213428438768,0.04080968969370957
UGA,0.012670524215005308,0.07160099236457995
UKR,0.419266039177872,
URY,0.014162145549005689,0.004292927036622984
USA,10.426060382920753,
UZB,0.1840277648407853,0.08052283132286675
VCT,0.0002774499911337544,-0.01587646263756426
VNM,0.6625664124123247,0.08167980532031294
VUT,0.0003786242636840435,0.012037276308518585
WSM,0.0007789664200191903,0.017125781077226065
YEM,0.021826240445637524,0.09819639351527343
ZAF,0.9656175347459364,
ZMB,0.017302166246726813,0.05894547308910347
ZWE,0.024714680879019346,0.052361670761960966
