iso,direct,indirect
AFG,0.03622804469511892,0.10714273152261455
AGO,0.10613266920250508,0.12520736158599277
ALB,0.022975994406790462,0.12149814349447752
ARE,0.8661386043665367,0.13080689554335834
ARG,0.7779530603295708,
ARM,0.021512446939870145,0.09660079894149476
ATG,0.002093099093822619,0.0862055299597273
AUS,1.6823597706163884,
AUT,0.2822195535258125,
AZE,0.13910667683681333,0.08968490075349678
BDI,0.00133153556311192,0.10894923475328255
BEL,0.39854809385181733,
BEN,0.03382274129258753,0.10784805769327477
BFA,0.01473842035927786,0.06404497227667605
BGD,0.42898995271033913,0.081436456809314
BGR,0.17097894489552856,
BHR,0.14484820726729364,0.13103295989928654
BHS,0.008641677282922956,0.11707186760118304
BIH,0.113175715406029,0.1047132712295138
BLR,0.25592181268173686,0.10464005296397261
BLZ,0.0017662929977944938,0.11040991041579673
BOL,0.0958101507080954,0.06683158591239646
BRA,1.8867591428155936,0.09059004672350568
BRB,0.005489964090657065,0.04814820712357459
BRN,0.028570437758711986,0.0738613327143014
BTN,0.004989569251857867,0.15146329503102152
BWA,0.030275545137441323,0.08337083343661789
CAF,0.0017026875012093167,0.08831411721537563
CAN,2.3134291949338177,
CHE,0.15805434123283313,
CHL,0.3460266634319904,
CHN,46.09055769499679,
CIV,0.049371830699866115,0.07754139136908123
CMR,0.04089878778111655,0.1189805833147517
COD,0.011325113958528268,0.13038178285466984
COG,0.024987611762919137,0.11616477668540881
COL,0.3807866634146446,
COM,0.0011821395482668647,0.12158740009118674
CPV,0.003685659776866315,0.10321865965138954
CRI,0.03320330629948323,0.10312788464398182
CUB,0.10394484126309456,0.1387440596126055
CYP,0.028659108134390127,
CZE,0.4181093243289702,
DEU,2.8081885210656026,
DJI,0.003960181643260136,0.10437077876215994
DMA,0.0006957403354162332,0.0799931256682953
DNK,0.1239177288948341,
DOM,0.1108622285705877,0.07614342544044916
DZA,0.6998191214206742,0.12463740426071013
ECU,0.1576717479093941,0.10392569773333094
EGY,1.1237508595501025,0.1045885299012923
ERI,0.003209893464734978,0.06178217354199944
ESP,1.0417497279386936,
EST,0.06935916836082834,
ETH,0.07194632373319237,0.10740028681507852
FIN,0.17318856818674733,
FJI,0.010102909657726172,0.1271775992334625
FRA,1.265366387546127,
FSM,0.0,0.06979794334186806
GAB,0.024712972272784267,0.11612724140168496
GBR,1.4605967239914754,
GEO,0.043034379913574006,0.0639535949292167
GHA,0.07180945262903915,0.1575064098288408
GIN,0.012491714519922328,0.06043098499868904
GMB,0.002366883769593849,0.11347690409164102
GNB,0.0013230332186128044,0.09738577590414366
GNQ,0.018566283726398514,0.09664612777646653
GRC,0.2567178875461509,
GRD,0.0008449591196511416,0.07053885195512066
GTM,0.08133796714813857,0.09521163993221649
GUY,0.006954386242523765,0.10418207871200025
HND,0.04543665528634011,0.10069096401888089
HRV,0.07377994677810978,
HTI,0.013677123610306333,0.11193679185365113
HUN,0.19836944002823653,
IDN,2.586436373042158,0.14281034875861565
IND,10.104407911645232,0.07943940122132176
IRL,0.14567476877972851,
IRN,2.725116798478126,0.13279943978440656
IRQ,0.8215645971690826,0.1255373406657725
ISL,0.015314008431783752,
ISR,0.2757018868149408,0.1564975640095838
ITA,1.316628648422716,
JAM,0.03472118322329662,0.09228092073504968
JOR,0.10838174756160679,0.14326749165317665
JPN,4.553851464545723,
KAZ,1.0914061499002186,
KEN,0.07602409279131866,0.1246437559949527
KGZ,0.05075389380393863,0.1286855746239155
KHM,0.0468919382384001,0.0997914501838153
KIR,0.0002665210179749792,0.08066055333165423
KNA,0.0006345676740042742,0.06051864146925823
KOR,2.6251085061772415,
KWT,0.4029002225494449,0.08777863768175109
LAO,0.09202827765961108,0.14082109481658733
LBN,0.11257108529195736,0.13996216372132153
LBR,0.005559663688013215,0.11126755769481633
LBY,0.22292104195610052,0.11234679372769563
LCA,0.0013232404055176367,0.09347476088225903
LKA,0.10183175091826346,0.1322797404963154
LSO,0.002818985886947605,0.087199607923381
LTU,0.05387723725059068,
LUX,0.03862088257529922,
LVA,0.034136528188782655,
MAR,0.291243006382496,0.12642029800611
MDA,0.03441083826530475,0.1391099496396606
MDG,0.019014461599526092,0.13166209081289537
MDV,0.006981482333800894,0.08752453476031974
MEX,1.9506249882920752,
MHL,0.0,0.05317194972153061
MKD,0.03519864189783761,0.05656649134984093
MLI,0.01575949774035941,0.11168949085690372
MLT,0.0064686249288623265,
MMR,0.13409944203561686,0.14344498900427993
MNG,0.0883004535724764,0.06740941999254346
MOZ,0.04295661829958636,0.11839195067216224
MRT,0.012329454481608576,0.11417465853010356
MUS,0.015792117272473885,0.1042340747962669
MWI,0.006355967972625005,0.1146648310332381
MYS,1.0312050817957603,0.11157247418987026
NAM,0.017224312879271536,0.1293782121724405
NER,0.00975324543554311,0.09562027577116794
NGA,0.5307761405443476,0.0912010219460484
NIC,0.02183986233842336,0.07846436599920992
NLD,0.6252179877153763,
NOR,0.18815392336751757,
NPL,0.050088784954126775,0.14485948665003434
NZL,0.1467738588253481,
OMN,0.34553584973005824,0.11807572602738503
PAK,0.8589462618973709,0.17364471986304864
PAN,0.04049300302692005,0.029906333056601397
PER,0.21898301187556846,0.11338023024582355
PHL,0.6007079634499894,0.13564065328964148
PLW,0.0052024479169121285,0.02687309541391869
PNG,0.02975321300919226,0.12426771131435999
POL,1.2540347355320316,
PRT,0.19365614655260854,
PRY,0.03571566366654558,0.09586572623121015
QAT,0.40395436410636876,0.09717295520601965
ROU,0.3190128325712851,
RUS,7.050754316826122,0.07076846428742556
RWA,0.004624919709259545,0.06468272812207942
SAU,2.385692323727133,0.09728657498230575
SDN,0.09299717527465401,0.16077663839489276
SEN,0.042546161790708914,0.10074266710219604
SGP,0.22836135257010381,
SLB,0.0012788783556855754,0.07898165840130389
SLE,0.004487410123106137,0.13273385441262064
